min_slip_m,mean_slip_m,median_slip_m,max_slip_m,std_slip_m,p95_slip_m,p99_slip_m,sum_slip_m,max_to_mean,p99_to_mean,target_moment_Nm,realized_moment_Nm,moment_rel_error,mw,attempt_index,accepted,decision,rupture_length_km,rupture_width_km,top_depth_km,strike_deg,dip_deg,rake_deg,reference_mean_slip_m,n_along,n_down,corr_length_km,hurst_nu,sigma_ln,sample_index,file_name
6.031614803385372,16.587798773062442,14.629998682321652,43.0808385915903,8.821217139065084,37.23322589930537,41.31366988646774,1244.084907979683,2.5971401739904705,2.4906059237684137,3.981071705534985e+22,3.981071705534986e+22,2.107123061445265e-16,9.0,0,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,0,slip_Mw9.0_sample0000.npy
3.7274083057358944,16.587798773062435,14.791017361188233,40.07983025035536,9.09235571096226,35.54967283677448,38.67314342560204,1244.0849079796826,2.416223562793789,2.3314210616302415,3.981071705534985e+22,3.981071705534984e+22,2.107123061445265e-16,9.0,1,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,1,slip_Mw9.0_sample0001.npy
4.1021215745043556,16.58779877306243,15.238049805676964,42.51786000194129,8.471225341594502,31.793873783326685,39.35023998762203,1244.0849079796824,2.563200855256798,2.372240013637277,3.981071705534985e+22,3.9810717055349835e+22,4.21424612289053e-16,9.0,2,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,2,slip_Mw9.0_sample0002.npy
3.913492746738529,16.587798773062445,14.1428009512665,44.06238019360657,9.072915434606127,35.338052266024874,42.50525803419993,1244.0849079796833,2.6563126787600737,2.56244114217408,3.981071705534985e+22,3.981071705534987e+22,4.21424612289053e-16,9.0,3,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,3,slip_Mw9.0_sample0003.npy
3.354771760369212,16.58779877306243,14.851598899024712,41.89922543688455,7.911669265817186,31.43909421552437,40.682762025625195,1244.0849079796824,2.525906300776106,2.4525714702840204,3.981071705534985e+22,3.9810717055349835e+22,4.21424612289053e-16,9.0,4,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,4,slip_Mw9.0_sample0004.npy
3.601490247336212,16.587798773062435,15.388258344026356,55.15730555367754,8.5913298848432,29.795658505409136,44.30813581621502,1244.0849079796826,3.325173298053845,2.671128123893612,3.981071705534985e+22,3.981071705534984e+22,2.107123061445265e-16,9.0,5,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,5,slip_Mw9.0_sample0005.npy
3.486617202120626,16.58779877306244,15.695434474920052,61.95638461727372,9.711497763159056,35.23856816406164,52.46373343386231,1244.0849079796828,3.7350576447724375,3.162790563812492,3.981071705534985e+22,3.981071705534985e+22,0.0,9.0,6,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,6,slip_Mw9.0_sample0006.npy
4.989458939593288,16.58779877306243,15.429620811122946,52.17847672000088,8.459121909085567,30.419283199723846,41.592263361898745,1244.0849079796824,3.1455937845554005,2.5074010078686286,3.981071705534985e+22,3.9810717055349835e+22,4.21424612289053e-16,9.0,7,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,7,slip_Mw9.0_sample0007.npy
4.95218396948744,16.587798773062435,14.108154783978716,54.36082942384687,9.484503115016674,37.42860018795853,46.543898329360566,1244.0849079796826,3.277157516048815,2.8059116803939648,3.981071705534985e+22,3.981071705534984e+22,2.107123061445265e-16,9.0,8,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,8,slip_Mw9.0_sample0008.npy
5.712970817289704,16.58779877306244,14.067534886681711,53.254607554753484,9.099489087349559,33.58765461575095,46.91180977165179,1244.0849079796828,3.2104686271716583,2.8280913226312867,3.981071705534985e+22,3.981071705534985e+22,0.0,9.0,9,True,accepted,600.0,100.0,6.1,158.0,33.0,90.0,8.1,15,5,20.0,0.3,0.55,9,slip_Mw9.0_sample0009.npy
