time_sec,Dapa_virtual
0.0,0.0
6.0,1.2821977e-06
12.0,1.9559919e-05
18.0,9.576528e-05
24.0,0.0002908258
30.0,0.00067403686
36.0,0.0013083954
42.0,0.0022377798
48.0,0.003479702
54.0,0.005023715
60.0,0.0068335435
66.0,0.008852056
72.0,0.0110095525
78.0,0.013234697
84.0,0.015465185
90.0,0.017655263
96.0,0.019780025
102.0,0.021838496
108.0,0.02385602
114.0,0.025883477
120.0,0.027990483
126.0,0.03025304
132.0,0.032739487
138.0,0.035498604
144.0,0.038551256
150.0,0.041885857
156.0,0.04545886
162.0,0.049201883
168.0,0.05303472
174.0,0.05688016
180.0,0.06067607
186.0,0.06438311
192.0,0.06798907
198.0,0.07151041
204.0,0.07498946
210.0,0.07848629
216.0,0.082066946
222.0,0.08579217
228.0,0.08970951
234.0,0.09384826
240.0,0.09821577
246.0,0.10279563
252.0,0.107549265
258.0,0.11242194
264.0,0.1173511
270.0,0.12227488
276.0,0.12714024
282.0,0.1319114
288.0,0.13657737
294.0,0.14115511
300.0,0.14568506
306.0,0.15022056
312.0,0.15481511
318.0,0.15951167
324.0,0.16433494
330.0,0.16928665
336.0,0.17434497
342.0,0.17946894
348.0,0.1846076
354.0,0.18971017
360.0,0.19473407
366.0,0.19965021
372.0,0.20444705
378.0,0.2091334
384.0,0.21373849
390.0,0.21830699
396.0,0.22289084
402.0,0.22754052
408.0,0.23229821
414.0,0.23719162
420.0,0.24222833
426.0,0.24739136
432.0,0.25263914
438.0,0.25791112
444.0,0.26313683
450.0,0.26824653
456.0,0.27318156
462.0,0.2779048
468.0,0.28240848
474.0,0.2867162
480.0,0.29087713
486.0,0.2949543
492.0,0.29901156
498.0,0.30310303
504.0,0.30726525
510.0,0.31151143
516.0,0.3158288
522.0,0.32018054
528.0,0.3245119
534.0,0.3287581
540.0,0.33285215
546.0,0.33673248
552.0,0.34035093
558.0,0.34368128
564.0,0.3467243
570.0,0.34950715
576.0,0.35207793
582.0,0.35449767
588.0,0.3568316
594.0,0.3591393
600.0,0.361464
606.0,0.36382368
612.0,0.3662073
618.0,0.36857796
624.0,0.37088057
630.0,0.37305203
636.0,0.37503213
642.0,0.3767744
648.0,0.3782552
654.0,0.37947738
660.0,0.38046739
666.0,0.38126782
672.0,0.38192946
678.0,0.38250417
684.0,0.38303864
690.0,0.38356736
696.0,0.38410634
702.0,0.38464963
708.0,0.38517004
714.0,0.38562256
720.0,0.38594973
726.0,0.38609064
732.0,0.38600436
738.0,0.3856921
744.0,0.38520017
750.0,0.38461095
756.0,0.38402498
762.0,0.38354206
768.0,0.38324583
774.0,0.38319206
780.0,0.3833993
786.0,0.3838437
792.0,0.3844624
798.0,0.3851656
804.0,0.38585258
810.0,0.38642654
816.0,0.3868072
822.0,0.38694313
828.0,0.3868227
834.0,0.3864785
840.0,0.38598153
846.0,0.3854267
852.0,0.38491634
858.0,0.3845455
864.0,0.38438836
870.0,0.38448554
876.0,0.38483503
882.0,0.3853918
888.0,0.38607717
894.0,0.38679373
900.0,0.38744065
906.0,0.38792774
912.0,0.38819003
918.0,0.38820037
924.0,0.38797504
930.0,0.3875688
936.0,0.3870619
942.0,0.38654512
948.0,0.38610697
954.0,0.38582128
960.0,0.38573495
966.0,0.38585803
972.0,0.38616154
978.0,0.3865838
984.0,0.3870417
990.0,0.38744298
996.0,0.38769913
1002.0,0.3877401
1008.0,0.38752878
1014.0,0.38706937
1020.0,0.38640568
1026.0,0.38561088
1032.0,0.38477483
1038.0,0.38399112
1044.0,0.38334355
1050.0,0.38289168
1056.0,0.38265893
1062.0,0.3826287
1068.0,0.3827501
1074.0,0.38294864
1080.0,0.38313866
1086.0,0.38323617
1092.0,0.38317353
1098.0,0.38291323
1104.0,0.3824562
1110.0,0.3818403
1116.0,0.38113168
1122.0,0.38041446
1128.0,0.37977964
1134.0,0.379313
1140.0,0.37908006
1146.0,0.37911287
1152.0,0.3794034
1158.0,0.37990603
1164.0,0.38054535
1170.0,0.38122708
1176.0,0.38185117
1182.0,0.38232824
1188.0,0.38259676
1194.0,0.38263392
