time_sec,Dapa_virtual
0.0,0.0
12.0,3.1133623e-05
24.0,0.00044741196
36.0,0.0019999442
48.0,0.0054181265
60.0,0.010993266
72.0,0.01839696
84.0,0.026827453
96.0,0.035349328
108.0,0.043243617
120.0,0.050248645
132.0,0.056582667
144.0,0.06278416
156.0,0.069482006
168.0,0.077154264
180.0,0.08595249
192.0,0.09560991
204.0,0.10543456
216.0,0.11447749
228.0,0.121865906
240.0,0.12716748
252.0,0.13061914
264.0,0.13303801
276.0,0.13543183
288.0,0.13852538
300.0,0.14241385
312.0,0.14652939
324.0,0.14994565
336.0,0.15183061
348.0,0.15183389
360.0,0.15020522
372.0,0.14761674
384.0,0.14510399
396.0,0.14384526
408.0,0.14462368
420.0,0.14748845
432.0,0.15172546
444.0,0.15616134
456.0,0.15965968
468.0,0.16156973
480.0,0.16198896
492.0,0.16170292
504.0,0.16181251
516.0,0.16325545
528.0,0.16637851
540.0,0.17073038
552.0,0.17519188
564.0,0.17836827
576.0,0.17914075
588.0,0.1771662
600.0,0.17304344
612.0,0.16808504
624.0,0.16377896
636.0,0.16116068
648.0,0.16042319
660.0,0.1608966
672.0,0.16138186
684.0,0.1607246
696.0,0.15833308
708.0,0.15442087
720.0,0.14990069
732.0,0.14595805
744.0,0.14355175
756.0,0.14306705
768.0,0.14420243
780.0,0.14614531
792.0,0.14794098
804.0,0.148894
816.0,0.14888692
828.0,0.14843792
840.0,0.14845255
852.0,0.14980583
864.0,0.1529002
876.0,0.1574161
888.0,0.16239093
900.0,0.16656855
912.0,0.1689195
924.0,0.16910343
936.0,0.16761427
948.0,0.16556112
960.0,0.16416383
972.0,0.16419311
984.0,0.16565345
996.0,0.16779824
1008.0,0.16944964
1020.0,0.16950606
1032.0,0.16738954
1044.0,0.16327854
1056.0,0.15804863
1068.0,0.15291648
1080.0,0.14898048
1092.0,0.14683937
1104.0,0.14639857
1116.0,0.14696445
1128.0,0.14756402
1140.0,0.14736697
1152.0,0.14607693
1164.0,0.14407302
1176.0,0.14222746
1188.0,0.14150064
1200.0,0.14247215
1212.0,0.1450595
1224.0,0.14855765
1236.0,0.15194085
1248.0,0.15432413
1260.0,0.1553625
1272.0,0.1553796
1284.0,0.15519921
1296.0,0.15573639
1308.0,0.15754661
1320.0,0.16057265
1332.0,0.16414714
1344.0,0.16724163
1356.0,0.16887186
1368.0,0.16847128
1380.0,0.16612487
1392.0,0.16256355
1404.0,0.15887685
1416.0,0.1560904
1428.0,0.15476622
1440.0,0.15477718
1452.0,0.15538436
1464.0,0.15556021
1476.0,0.1544365
1488.0,0.1517166
1500.0,0.14782444
1512.0,0.14372681
1524.0,0.1405222
1536.0,0.13896465
1548.0,0.13917896
1560.0,0.14067504
1572.0,0.14260261
1584.0,0.14415096
1596.0,0.14489803
1608.0,0.14495625
1620.0,0.14489108
1632.0,0.14542523
1644.0,0.147077
1656.0,0.14991659
1668.0,0.15350164
1680.0,0.15702869
1692.0,0.15964535
1704.0,0.16078007
1716.0,0.16039428
1728.0,0.15902726
1740.0,0.15756762
1752.0,0.15686873
1764.0,0.15735777
1776.0,0.15881968
1788.0,0.16048548
1800.0,0.16135493
1812.0,0.16062687
1824.0,0.15806866
1836.0,0.15412651
1848.0,0.14974724
1860.0,0.14599422
1872.0,0.14361371
1884.0,0.1427784
1896.0,0.14308675
1908.0,0.14377342
1920.0,0.14405683
1932.0,0.14346045
1944.0,0.14199375
1956.0,0.14014941
1968.0,0.13868283
1980.0,0.1382808
1992.0,0.13927433
2004.0,0.14148797
2016.0,0.14431317
2028.0,0.14697035
2040.0,0.14883265
2052.0,0.14970662
2064.0,0.14991683
2076.0,0.15012892
2088.0,0.15101263
2100.0,0.15288417
2112.0,0.15551546
2124.0,0.15821984
2136.0,0.16013393
2148.0,0.1605817
2160.0,0.15936914
2172.0,0.15686116
2184.0,0.15383743
2196.0,0.15118092
2208.0,0.14951849
2220.0,0.14899676
2232.0,0.14925611
2244.0,0.14959227
2256.0,0.14925928
2268.0,0.1477745
2280.0,0.14512773
2292.0,0.14182246
2304.0,0.13868594
2316.0,0.13653767
2328.0,0.13586178
2340.0,0.13661012
2352.0,0.13825068
2364.0,0.14002138
2376.0,0.14126109
2388.0,0.14170036
2400.0,0.14155938
2412.0,0.14140685
2424.0,0.1418693
2436.0,0.14330931
2448.0,0.14564468
2460.0,0.14839488
2472.0,0.15088639
2484.0,0.152535
2496.0,0.15308389
2508.0,0.15268944
2520.0,0.1518521
2532.0,0.15120019
2544.0,0.15120362
2556.0,0.15196541
2568.0,0.153158
2580.0,0.15413767
2592.0,0.1542109
2604.0,0.15292372
2616.0,0.1502773
2628.0,0.14677675
2640.0,0.14324826
2652.0,0.14051387
2664.0,0.13906308
2676.0,0.13886146
2688.0,0.13940798
2700.0,0.13998513
2712.0,0.13997611
2724.0,0.13913377
2736.0,0.13766912
2748.0,0.13613832
2760.0,0.13519707
2772.0,0.13531023
2784.0,0.13656488
2796.0,0.13866034
2808.0,0.14103986
2820.0,0.14312029
2832.0,0.14451885
2844.0,0.145185
2856.0,0.145411
2868.0,0.14568698
2880.0,0.14645167
2892.0,0.14786951
2904.0,0.14971985
2916.0,0.15146768
2928.0,0.15249644
2940.0,0.15237598
2952.0,0.15106767
2964.0,0.14896917
2976.0,0.14675009
2988.0,0.14506908
3000.0,0.14429002
3012.0,0.14432645
3024.0,0.14470556
3036.0,0.14478911
3048.0,0.14404704
3060.0,0.14228602
3072.0,0.13972719
3084.0,0.13692538
3096.0,0.13456792
3108.0,0.13320889
3120.0,0.13306774
3132.0,0.1339669
3144.0,0.13541402
3156.0,0.13681373
3168.0,0.13770953
3180.0,0.13795984
3192.0,0.13779515
3204.0,0.13769999
3216.0,0.13816972
3228.0,0.139467
3240.0,0.14147805
3252.0,0.14375609
3264.0,0.14572711
3276.0,0.1469352
3288.0,0.14723544
3300.0,0.14684418
3312.0,0.14621738
3324.0,0.14583483
3336.0,0.14597312
3348.0,0.1465723
3360.0,0.1472714
3372.0,0.14756583
3384.0,0.14702086
3396.0,0.14546427
3408.0,0.14306867
3420.0,0.14031217
3432.0,0.13782094
3444.0,0.1361288
3456.0,0.13547064
3468.0,0.1356928
3480.0,0.13631754
3492.0,0.13675612
3504.0,0.1365618
3516.0,0.13561937
3528.0,0.13420478
3540.0,0.13286304
3552.0,0.1321656
3564.0,0.13246362
3576.0,0.1337363
3588.0,0.13561982
3600.0,0.13755514
