mw,weight,n_samples,mean_max_wave_Dapa_virtual_m,95th_percentile_inundation_depth_in_dapa_m
8.0,0.48918944851699153,1,0.026824722066521645,0.0
8.5,0.3119209638507639,1,0.17914074659347534,0.0
9.0,0.19888958763224468,1,0.31003037095069885,0.0
