sample_index,slip_id,dapa_p95_inundation_m
0,slip_Mw8.0_sample0,136.54251098632812
1,slip_Mw8.0_sample1,136.56471252441406
2,slip_Mw8.0_sample10,136.53707885742188
3,slip_Mw8.0_sample100,136.53909301757812
