time_sec,Davao,Legazpi,Dapa_virtual
0.0,0.00014943475,0.000105388935,0.006747119
9.744956,0.019383548,0.009310368,1.0913546
24.662754,0.19150145,0.05365611,7.3767924
24.791891,0.19312428,0.053972006,7.416933
24.791899,0.19312443,0.053972036,7.416937
24.791912,0.1931247,0.053972084,7.416943
24.791933,0.19312513,0.05397217,7.416954
24.791964,0.19312574,0.05397229,7.4169693
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
24.791988,0.19312626,0.05397239,7.416982
