time_sec,Davao,Legazpi,Dapa_virtual
0.0,0.0,0.0,0.0
12.0,2.9860627e-18,0.0,0.0
24.0,2.5941132e-15,0.0,0.0
36.0,1.4146425e-13,0.0,0.0
48.0,2.4526314e-12,0.0,0.0
60.0,2.262349e-11,0.0,0.0
72.0,1.3984691e-10,0.0,0.0
84.0,6.5544703e-10,0.0,0.0
96.0,2.5075775e-09,0.0,0.0
108.0,8.212167e-09,0.0,0.0
120.0,2.3780725e-08,0.0,0.0
132.0,6.231169e-08,0.0,0.0
144.0,1.5026559e-07,0.0,0.0
156.0,3.3780793e-07,0.0,0.0
168.0,7.1501796e-07,0.0,0.0
180.0,1.4361837e-06,0.0,0.0
192.0,2.7547846e-06,0.0,0.0
204.0,5.072048e-06,0.0,0.0
216.0,9.002072e-06,0.0,0.0
228.0,1.5456382e-05,0.0,0.0
240.0,2.5750343e-05,0.0,0.0
252.0,4.173302e-05,0.0,0.0
264.0,6.594087e-05,0.0,0.0
276.0,0.00010177398,0.0,0.0
288.0,0.0001536916,0.0,0.0
300.0,0.00022597687,0.0,0.0
