sample_index,slip_id,Davao,Legazpi,Dapa_virtual
0,slip_Mw8.5_sample0,0.5120186805725098,0.48620107769966125,7.486334323883057
1,slip_Mw8.5_sample1,0.6881915926933289,0.6356319189071655,7.3256683349609375
2,slip_Mw8.5_sample10,0.7401837110519409,0.42210641503334045,7.307104110717773
3,slip_Mw8.5_sample100,0.6294230222702026,0.7514325380325317,7.329586505889893
