sample_index,slip_id,dapa_p95_inundation_m
0,slip_Mw8.5_sample0,136.5100860595703
1,slip_Mw8.5_sample1,136.5389404296875
2,slip_Mw8.5_sample10,136.5096893310547
3,slip_Mw8.5_sample100,136.3795928955078
