min_slip_m,mean_slip_m,median_slip_m,max_slip_m,std_slip_m,p95_slip_m,p99_slip_m,sum_slip_m,max_to_mean,p99_to_mean,target_moment_Nm,realized_moment_Nm,moment_rel_error,mw,attempt_index,accepted,decision,rupture_length_km,rupture_width_km,top_depth_km,strike_deg,dip_deg,rake_deg,reference_mean_slip_m,n_along,n_down,corr_length_km,hurst_nu,sigma_ln,sample_index,file_name
0.5399131884718286,1.5736567647427138,1.3401985021116776,4.565940124200075,0.8443365237698662,3.4672191600772853,3.992430878163008,118.02425735570354,2.9014841269700806,2.53704045736794,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,0,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,0,slip_Mw8.0_sample0000.npy
0.30468902068224246,1.5736567647427135,1.3669207218464914,3.7506520647332557,0.8198341409638583,3.3988637186038946,3.683388933941633,118.02425735570351,2.383399066915632,2.3406558637606416,1.2589254117941712e+21,1.258925411794171e+21,2.082283807635614e-16,8.0,1,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,1,slip_Mw8.0_sample0001.npy
0.43506331969241013,1.5736567647427138,1.4602753566470223,4.064131525621625,0.7359541020310558,2.912507695315008,3.667352456946094,118.02425735570353,2.5826035363474533,2.330465282590191,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,2,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,2,slip_Mw8.0_sample0002.npy
0.45550860178484276,1.5736567647427135,1.4398653682142704,4.378127929404015,0.834885629035689,3.0546345717191286,4.00761780085621,118.02425735570351,2.7821365036484442,2.5466911785629693,1.2589254117941712e+21,1.258925411794171e+21,2.082283807635614e-16,8.0,3,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,3,slip_Mw8.0_sample0003.npy
0.34592043139736056,1.573656764742714,1.4106082570823624,3.7005532112722355,0.6944435664361348,2.848307177715077,3.546713378704932,118.02425735570355,2.351563119850509,2.2538036617437376,1.2589254117941712e+21,1.2589254117941715e+21,2.082283807635614e-16,8.0,4,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,4,slip_Mw8.0_sample0004.npy
0.31547894003068205,1.5736567647427138,1.4734629039288831,4.069299488124982,0.7438934870939827,2.91281175792762,3.8625417162834137,118.02425735570353,2.585887583173384,2.454500754435433,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,5,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,5,slip_Mw8.0_sample0005.npy
0.36461637047946355,1.573656764742714,1.3994949110532777,5.413192059201591,0.8916328793350332,3.2396389506810728,5.193455988109604,118.02425735570355,3.4398810340872674,3.3002469817226703,1.2589254117941712e+21,1.2589254117941715e+21,2.082283807635614e-16,8.0,6,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,6,slip_Mw8.0_sample0006.npy
0.5008114407775685,1.573656764742714,1.4325633345439097,5.148075725422122,0.8040757630128821,2.750174015038438,4.231853380195509,118.02425735570355,3.271409522561173,2.6891845000821375,1.2589254117941712e+21,1.2589254117941715e+21,2.082283807635614e-16,8.0,7,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,7,slip_Mw8.0_sample0007.npy
0.5400596690423022,1.5736567647427138,1.3314810292616819,5.133158315377149,0.8870583189809096,3.3247220715294126,4.463846746032417,118.02425735570353,3.2619300665710282,2.836607604684518,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,8,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,8,slip_Mw8.0_sample0008.npy
0.4976046500576911,1.573656764742714,1.4155312684846717,5.326061015959859,0.8217122018370077,2.9876865095163074,3.9101983127105773,118.02425735570355,3.384512515872956,2.4847847385257977,1.2589254117941712e+21,1.2589254117941715e+21,2.082283807635614e-16,8.0,9,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,9,slip_Mw8.0_sample0009.npy
0.28614254013500046,1.5736567647427138,1.2957197844855348,6.340817452704928,1.1047733326100968,4.022845433623915,5.226811093631631,118.02425735570353,4.029352267132804,3.3214429033933537,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,10,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,10,slip_Mw8.0_sample0010.npy
0.27635548304626095,1.573656764742714,1.2469437150574623,3.6232461584628415,0.8580951158470492,3.3598655976729455,3.5713151431702777,118.02425735570355,2.3024373800186515,2.269437162654826,1.2589254117941712e+21,1.2589254117941715e+21,2.082283807635614e-16,8.0,11,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,11,slip_Mw8.0_sample0011.npy
0.39776079938990055,1.5736567647427138,1.3818645949827644,4.555657382711319,0.8922826781217293,3.4830236623951056,3.879178643330966,118.02425735570353,2.894949829454169,2.465072899149768,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,12,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,12,slip_Mw8.0_sample0012.npy
0.38565480967217064,1.5736567647427138,1.4171462093591034,4.62107877498762,0.8303648299971489,3.3557305854496695,4.232494050138671,118.02425735570354,2.9365226766862,2.689591621862132,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,13,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,13,slip_Mw8.0_sample0013.npy
0.4668496171128332,1.5736567647427142,1.5323613962078864,3.324958097729788,0.6509805107612787,2.7525880943656507,3.227781163659413,118.02425735570357,2.112886477041519,2.051134171044688,1.2589254117941712e+21,1.2589254117941715e+21,2.082283807635614e-16,8.0,14,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,14,slip_Mw8.0_sample0014.npy
0.3828221393340864,1.5736567647427133,1.404927720028261,5.074226764664937,0.8581884213673114,3.2371847529121385,4.235551763031476,118.0242573557035,3.2244812708535924,2.691534684009681,1.2589254117941712e+21,1.2589254117941707e+21,4.164567615271228e-16,8.0,15,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,15,slip_Mw8.0_sample0015.npy
0.3906040886897453,1.5736567647427138,1.3213753578124898,4.119126767467376,0.9229716355780352,3.6297100575354033,4.117934289293376,118.02425735570354,2.6175509550463096,2.616793179779989,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,16,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,16,slip_Mw8.0_sample0016.npy
0.49926889523334905,1.5736567647427138,1.2791337230443356,5.067137235778861,1.0399727650311967,3.5271212887787824,4.801522038135495,118.02425735570354,3.2199761404815086,3.0511876196335126,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,17,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,17,slip_Mw8.0_sample0017.npy
0.32991995292347887,1.573656764742714,1.1736104222348749,6.589858576169145,1.1543177383742151,3.7560739299296158,5.3671411387114025,118.02425735570355,4.18760858391287,3.410617396982948,1.2589254117941712e+21,1.2589254117941715e+21,2.082283807635614e-16,8.0,18,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,18,slip_Mw8.0_sample0018.npy
0.2913464755163431,1.5736567647427138,1.4666406040477538,3.4102681145573057,0.7019276720919402,2.7045030188832175,3.325572620849614,118.02425735570353,2.1670978010982402,2.1132769834934946,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,19,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,19,slip_Mw8.0_sample0019.npy
0.26144520645931907,1.5736567647427138,1.3808678194467454,9.667113392839443,1.242586971197309,3.5936398975695547,5.700176377421368,118.02425735570353,6.143088892970873,3.622248831595321,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,20,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,20,slip_Mw8.0_sample0020.npy
0.505962035624738,1.5736567647427138,1.4314870363808665,4.022962829270366,0.7161446435796787,2.952575779958661,3.4553250000087754,118.02425735570354,2.5564423700285768,2.1957297661245123,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,21,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,21,slip_Mw8.0_sample0021.npy
0.3186648879338919,1.5736567647427138,1.3240508882719007,5.1047555737191495,0.9184091388767588,3.2244028987219364,4.878740011954787,118.02425735570354,3.2438811868570054,3.1002567530998033,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,22,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,22,slip_Mw8.0_sample0022.npy
0.4891294775470047,1.5736567647427138,1.4517412482951257,4.169837401937092,0.6870550689349681,2.849564577164864,3.53283885264637,118.02425735570354,2.6497756660543716,2.244986919510351,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,23,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,23,slip_Mw8.0_sample0023.npy
0.44472299322890535,1.5736567647427138,1.44233043354994,3.552811101659418,0.6823144571151729,2.7204752456963566,3.339001137301091,118.02425735570354,2.2576785365519574,2.1218103033077886,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,24,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,24,slip_Mw8.0_sample0024.npy
0.49564516134998693,1.5736567647427133,1.3472718019739836,4.884649408040073,0.9137218616884424,3.2169831372077664,4.74709846771691,118.0242573557035,3.104011953228374,3.0166034767391237,1.2589254117941712e+21,1.2589254117941707e+21,4.164567615271228e-16,8.0,25,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,25,slip_Mw8.0_sample0025.npy
0.4523378645971812,1.5736567647427138,1.448339453553784,3.7649064754029085,0.6809210110740936,2.604780395834721,3.563118091438837,118.02425735570353,2.3924572116070397,2.2642282429494034,1.2589254117941712e+21,1.2589254117941712e+21,0.0,8.0,26,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,26,slip_Mw8.0_sample0026.npy
0.29870434067970675,1.5736567647427135,1.4353341741459202,4.71113975973244,0.8911552162014021,3.46960761207435,4.088057018324356,118.02425735570351,2.9937530631101072,2.597807291854229,1.2589254117941712e+21,1.258925411794171e+21,2.082283807635614e-16,8.0,27,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,27,slip_Mw8.0_sample0027.npy
0.28139339944012637,1.573656764742714,1.262579816812287,4.833109503319633,0.9884684843046005,3.560081011281649,4.623658684821003,118.02425735570355,3.071260272000817,2.938162112865159,1.2589254117941712e+21,1.2589254117941715e+21,2.082283807635614e-16,8.0,28,True,accepted,200.0,100.0,7.6,160.0,40.0,90.0,2.7,15,5,20.0,0.3,0.55,28,slip_Mw8.0_sample0028.npy
