sample_index,slip_id,dapa_p95_inundation_m
0,slip_Mw9.0_sample0,136.53414916992188
1,slip_Mw9.0_sample1,136.49839782714844
2,slip_Mw9.0_sample10,136.3375701904297
3,slip_Mw9.0_sample100,136.50872802734375
