slip_id,source_mode,mw,peak_max_eta_m,peak_max_depth_m,peak_max_speed_mps,peak_gauge_Davao_m,peak_gauge_Legazpi_m,peak_gauge_Dapa_virtual_m
generated_rqmc_0,dynamic,8.5,168.2044881819858,168.2044881819858,1147.2873270657235,0.18962357617774017,0.3777910016748433,0.0
generated_rqmc_1,dynamic,8.5,168.2196933775588,168.2196933775588,1146.9141668326874,0.38381724362788444,0.20222621654834033,0.0
generated_rqmc_2,dynamic,8.5,168.2119752330567,168.2119752330567,1147.3668326517493,0.15590194313879177,0.11575215165079725,0.0
generated_rqmc_3,dynamic,8.5,168.22139721343225,168.22139721343225,1145.7098929275278,0.005798474285826623,0.03328035297320604,0.0
