mw,weight,n_samples,mean_max_wave_Davao_m,mean_max_wave_Legazpi_m,mean_max_wave_Dapa_virtual_m,95th_percentile_inundation_depth_in_dapa_m
8.0,0.48918944851699153,1,2.3083315682015382e-05,0.0,0.0,0.0
8.5,0.3119209638507639,1,2.3131984562496655e-05,0.0,0.0,0.0
9.0,0.19888958763224468,1,6.142903657746501e-06,0.0,0.0,0.0
