time_sec,Dapa_virtual
0.0,0.0
6.0,7.0879713e-07
12.0,1.05002855e-05
18.0,4.9301707e-05
24.0,0.00014272644
30.0,0.00031539612
36.0,0.0005862819
42.0,0.0009660852
48.0,0.0014559318
54.0,0.0020473364
60.0,0.0027236762
66.0,0.0034625854
72.0,0.004238127
78.0,0.005022523
84.0,0.0057885535
90.0,0.0065134503
96.0,0.007183195
102.0,0.0077948626
108.0,0.008355833
114.0,0.008881036
120.0,0.009390172
126.0,0.009905392
132.0,0.0104483245
138.0,0.011035725
144.0,0.011674839
150.0,0.012360441
156.0,0.013074583
162.0,0.013788814
168.0,0.014468406
174.0,0.015078461
180.0,0.0155910095
186.0,0.015990721
192.0,0.016276551
198.0,0.016458884
204.0,0.016554566
210.0,0.01658291
216.0,0.016563758
222.0,0.01651636
228.0,0.016457688
234.0,0.01640021
240.0,0.016349988
246.0,0.016306233
252.0,0.016267734
258.0,0.016237177
264.0,0.016217748
270.0,0.016211249
276.0,0.016218934
282.0,0.01624259
288.0,0.016283998
294.0,0.016343875
300.0,0.016422024
306.0,0.016518177
312.0,0.016631212
318.0,0.016756134
324.0,0.016881557
330.0,0.016990695
336.0,0.017065667
342.0,0.017092101
348.0,0.017061979
354.0,0.016975373
360.0,0.016842289
366.0,0.016683413
372.0,0.01652711
378.0,0.016402464
384.0,0.0163318
390.0,0.01632674
396.0,0.016388474
402.0,0.016509792
408.0,0.01667695
414.0,0.016871871
420.0,0.017075585
426.0,0.01727169
432.0,0.017447444
438.0,0.017592274
444.0,0.017696576
450.0,0.017753528
456.0,0.017762993
462.0,0.017733965
468.0,0.017683482
474.0,0.017633243
480.0,0.017606251
486.0,0.017623665
492.0,0.01770064
498.0,0.017841503
504.0,0.018037187
510.0,0.018267328
516.0,0.018505907
522.0,0.018726924
528.0,0.018907934
534.0,0.019032236
540.0,0.019091021
546.0,0.019084612
552.0,0.01902075
558.0,0.018910158
564.0,0.018762534
570.0,0.018585803
576.0,0.018387988
582.0,0.018178543
588.0,0.01796742
594.0,0.017763117
600.0,0.017571608
606.0,0.017396038
612.0,0.017235838
618.0,0.017085508
624.0,0.01693546
630.0,0.016776284
636.0,0.016604288
642.0,0.016424352
648.0,0.016248483
654.0,0.016091961
660.0,0.015969874
666.0,0.015894536
672.0,0.015872687
678.0,0.01590275
684.0,0.015974365
690.0,0.01607164
696.0,0.016178314
702.0,0.016281413
708.0,0.016372018
714.0,0.016444791
720.0,0.01649812
726.0,0.016534448
732.0,0.016559081
738.0,0.016577646
744.0,0.01659456
750.0,0.01661417
756.0,0.01664294
762.0,0.016689548
768.0,0.016761968
774.0,0.016863758
780.0,0.016992223
786.0,0.0171386
792.0,0.017288985
798.0,0.017425738
804.0,0.01753078
810.0,0.017590994
816.0,0.017603096
822.0,0.017574577
828.0,0.017520204
834.0,0.017456982
840.0,0.01740061
846.0,0.017363705
852.0,0.017354332
858.0,0.017374579
864.0,0.017420797
870.0,0.017486265
876.0,0.017564503
882.0,0.01765051
888.0,0.017739566
894.0,0.017826011
900.0,0.01790388
906.0,0.017968733
912.0,0.018018592
918.0,0.0180536
924.0,0.018076025
930.0,0.01809145
936.0,0.018109445
942.0,0.018141275
948.0,0.01819497
954.0,0.018270858
960.0,0.018360347
966.0,0.018447785
972.0,0.01851346
978.0,0.018536828
984.0,0.018500619
990.0,0.018395603
996.0,0.018223705
1002.0,0.017997047
1008.0,0.017733537
1014.0,0.017452283
1020.0,0.017171396
1026.0,0.016907625
1032.0,0.016675645
1038.0,0.01648645
1044.0,0.016346265
1050.0,0.016256973
1056.0,0.01621681
1062.0,0.016219694
1068.0,0.016253725
1074.0,0.016301379
1080.0,0.01634279
1086.0,0.016360609
1092.0,0.016343594
1098.0,0.01628817
1104.0,0.016199052
1110.0,0.016089594
1116.0,0.0159805
1122.0,0.015895408
1128.0,0.015854526
1134.0,0.015869774
1140.0,0.015943699
1146.0,0.01607132
1152.0,0.016242467
1158.0,0.016443608
1164.0,0.01665996
1170.0,0.016878163
1176.0,0.01708797
1182.0,0.017281553
1188.0,0.017451452
1194.0,0.017589942
