Event date,L (km),W (km),Top depth (km),Strike ( o ),Dip ( o ),Rake ( o ) ,Maximum slip (m),Mean slip (m)
"August 31, 2012",128,90,1,345.8,45.8,61.2,3.2,0.4
"December 2, 2023",144,120,14.5,167,17,62.6,1.8,0.3
